</S>       </s rsh 
ANĎOU       a nj dj ow 
APARÁT       a p a r aa t 
APATICKEJ       a p a t i c k e j 
APLAUDOVAL       a p l aw d o v a l 
APLIKACE       a p l i k a c e 
APLIKOVANÉ       a p l i k o v a n ee 
APLIKOVANÝ       a p l i k o v a n ii 
APLIKOVAT       a p l i k o v a t 
ARABY       a r a b i 
ARBESOVO       a r b e s o v o 
ARCHITEKTURA       a r x i t e k t u r a 
ARCHITEKTURU       a r x i t e k t u r u 
AREÁLU       a r e aa l u 
ARGENTINA       a r g e nj tj i n a 
ARGUMENTEM       a r g u m e n t e m 
ARGUMENTY       a r g u m e n t i 
ARITMIE       a r i t m i e 
ARMÁDA       a r m aa d a 
ARMÁDU       a r m aa d u 
ARMÁDY       a r m aa d i 
ARO       a r o 
ARYTMII       a r i t m i i 
ASI       a s i 
ASPEKT       a s p e k t 
ASPOŇ       a s p o nj 
ATENTÁTNÍCÍCH       a t e n t aa t nj ii c ii x 
ATLETI       a t l e tj i 
ATRAKCE       a t r a k c e 
AUKCE       aw k c e 
AUKCI       aw k c i 
AUSTRALAN       aw s t r a l a n 
AUSTRÁLIE       aw s t r aa l i e 
AUT       aw t 
AUTA       aw t a 
AUTAMA       aw t a m a 
AUTEM       aw t e m 
AUTO       aw t o 
AUTOBUS       aw t o b u s 
AUTOBUSE       aw t o b u s e 
AUTOBUSECH       aw t o b u s e x 
AUTOBUSEM       aw t o b u s e m 
AUTOBUSOVOU       aw t o b u s o v ow 
AUTOBUSOVÝHO       aw t o b u s o v ii h o 
AUTOBUSU       aw t o b u s u 
AUTOBUSY       aw t o b u s i 
AUTOMAT       aw t o m a t 
AUTOMATICKEJ       aw t o m a t i c k e j 
AUTOMATICKOU       aw t o m a t i c k ow 
AUTOMATICKY       aw t o m a t i c k i 
AUTOMATICKÝ       aw t o m a t i c k ii 
AUTOMATY       aw t o m a t i 
AUTOMECHANIKA       aw t o m e x a nj i k a 
AUTOMOBILEM       aw t o m o b i l e m 
AUTOMOBILU       aw t o m o b i l u 
AUTONEHODĚ       aw t o n e h o dj e 
AUTONOMNÍ       aw t o n o m nj ii 
AUTORA       aw t o r a 
AUTOROVI       aw t o r o v i 
AUTORSKOU       aw t o r s k ow 
AUTORSKÝCH       aw t o r s k ii x 
AUTORÁDIO       aw t o r aa dj i o 
AUTOŘI       aw t o rzh i 
AUTÍČEK       aw tj ii ch e k 
AUTÍČKA       aw tj ii ch k a 
AUTĚ       aw tj e 
AVŠAK       a f sh a k 
AVŠECKO       a f sh e c k o 
AXAMIT       a k s a m i t 
AČKOLIV       a ch k o l i f 
AČOKČI       a ch o k ch i 
AČOPČI       a ch o p ch i 
AŤ       a tj 
AŽ       a sh 
B       p 
BA       b a 
BABA       b a b a 
BABI       b a b i 
BABINEC       b a b i n e c 
BABIČCE       b a b i ch c e 
BABIČKA       b a b i ch k a 
BABIČKO       b a b i ch k o 
BABIČKOU       b a b i ch k ow 
BABIČKU       b a b i ch k u 
BABIČKY       b a b i ch k i 
BABIČČINU       b a b i ch i n u 
BABOVKU       b a b o f k u 
BABSKÝ       b a p s k ii 
BABÍ       b a b ii 
BACHA       b a x a 
BAF       b a f 
BAGETA       b a g e t a 
BAGETY       b a g e t i 
BAHNA       b a h n a 
BAKALÁŘCE       b a k a l aa rsh c e 
BAKALÁŘKU       b a k a l aa rsh k u 
BAKOVSKÁ       b a k o f s k aa 
BAKOVSKÉ       b a k o f s k ee 
BALIL       b a l i l 
BALILA       b a l i l a 
BALILY       b a l i l i 
BALIT       b a l i t 
BALKON       b a l k o n 
BALKONĚ       b a l k o nj e 
BALKOVICKÉ       b a l k o v i c k ee 
BALKÁN       b a l k aa n 
BALKÓN       b a l k o n 
BALKÓNU       b a l k o n u 
BALKÓNĚ       b a l k o nj e 
BALON       b a l o n 
BALÍK       b a l ii k 
BALÍKA       b a l ii k a 
BALÍKEM       b a l ii k e m 
BALÍKOVI       b a l ii k o v i 
BALÍKY       b a l ii k i 
BALÍČEK       b a l ii ch e k 
BALÍŠ       b a l ii sh 
BANCE       b a n c e 
BANK       b a ng k 
BANKOMAT       b a ng k o m a t 
BANKOMATU       b a ng k o m a t u 
BANKOVEK       b a ng k o v e k 
BANKOVKY       b a ng k o f k i 
BANKOVNICTVÍ       b a ng k o v nj i c t v ii 
BANKY       b a ng k i 
BANÁNECH       b a n aa n e x 
BANÁNY       b a n aa n i 
BANÍKU       b a nj ii k u 
BARANDOV       b a r a n d o f 
BARANDOVĚ       b a r a n d o v j e 
BAREV       b a r e f 
BAREVNÉ       b a r e v n ee 
BAREVNÝ       b a r e v n ii 
BAREVNÝMI       b a r e v n ii m i 
BARIKÁDAMI       b a r i k aa d a m i 
BARONI       b a r o nj i 
BARRANDOV       b a r a n d o f 
BARRANDOVA       b a r a n d o v a 
BARTOŠOVI       b a r t o sh o v i 
BARVA       b a r v a 
BARVIČKY       b a r v i ch k i 
BARVU       b a r v u 
BARVY       b a r v i 
BARVĚ       b a r v j e 
BARÁK       b a r aa k 
BARÁKEM       b a r aa k e m 
BARÁKU       b a r aa k u 
BARÁKŮ       b a r aa k uu 
BASKETBALISTKA       b a s k e d b a l i s t k a 
BATEREK       b a t e r e k 
BATERKOU       b a t e r k ow 
BATERKU       b a t e r k u 
BATI       b a tj i 
BATOH       b a t o x 
BAUMAXU       b aw m a k s u 
BAVILA       b a v i l a 
BAVILI       b a v i l i 
BAVILO       b a v i l o 
BAVILY       b a v i l i 
BAVIT       b a v i t 
BAVÍ       b a v ii 
BAVÍME       b a v ii m e 
BAVÍVALI       b a v ii v a l i 
BAČKORÁCH       b a ch k o r aa x 
BAŤA       b a tj a 
BAŤOHU       b a tj o h u 
BEBE       b e b e 
BEBECHY       b e b e x i 
BEDNA       b e d n a 
BEDNU       b e d n u 
BEDNĚ       b e d nj e 
BEDRA       b e d r a 
BEDÝNKA       b e d ii ng k a 
BEH       b e x 
BEHNEL       b e h n e l 
BEJT       b e j t 
BEJVALA       b e j v a l a 
BEJVALI       b e j v a l i 
BELGIČANÉ       b e l g i ch a n ee 
BENBINTON       b e n b i n t o n 
BENBINTONU       b e n b i n t o n u 
BENEŠOVA       b e n e sh o v a 
BENEŠOVÝCH       b e n e sh o v ii x 
BERE       b e r e 
BEREŠ       b e r e sh 
BERLÍNA       b e r l ii n a 
BERLÍNĚ       b e r l ii nj e 
BERNARDÝNI       b e r n a r d ii nj i 
BERNARDÝNŮ       b e r n a r d ii n uu 
BERNĚ       b e r nj e 
BEROU       b e r ow 
BEROUNA       b e r ow n a 
BEROUNĚ       b e r ow nj e 
BERTRAMKA       b e r t r a m k a 
BERTÍK       b e r tj ii k 
BERU       b e r u 
BERUŠKO       b e r u sh k o 
BERZ       b e r s 
BERÁNKU       b e r aa ng k u 
BESKYDÁCH       b e s k i d aa x 
BEZ       b e s 
BEZE       b e z e 
BEZEJMENÁ       b e z e j m e n aa 
BEZESPORU       b e z e s p o r u 
BEZMÁLA       b e z m aa l a 
BEZPEČNĚ       b e s p e ch nj e 
BEZPLATNEJCH       b e s p l a t n e j x 
BEZPLATNÝ       b e s p l a t n ii 
BEZPLATNÝCH       b e s p l a t n ii x 
BEZPOCHYBY       b e s p o x i b i 
BEZPÉŘOVÁ       b e s p ee rzh o v aa 
BEZTRÁTOVOU       b e s t r aa t o v ow 
BEZTVARÉ       b e s t v a r ee 
BEZVA       b e z v a 
BEZVEDNÝ       b e z v e d n ii 
BIJO       b i j o 
BIJOU       b i j ow 
BIJÍCÍ       b i j ii c ii 
BILLY       b i l i 
BINEC       b i n e c 
BINÁRKU       b i n aa r k u 
BINÁRNÍ       b i n aa r nj ii 
BIOINFORMATIKY       b i o i n f o r m a t i k i 
BIOINŽENÝRSTVÍ       b i o i n zh e n ii r s t v ii 
BIOMIN       b i o m i n 
BITVY       b i t v i 
BIÁKU       b i aa k u 
BLA       b l a 
BLAHO       b l a h o 
BLAHOPŘEJEME       b l a h o p rsh e j e m e 
BLAHOPŘEJU       b l a h o p rsh e j u 
BLAHOPŘÁLA       b l a h o p rsh aa l a 
BLANŽÍROVÁNÍ       b l a n zh ii r o v aa nj ii 
BLATINY       b l a tj i n i 
BLAZE       b l a z e 
BLAŽENĚ       b l a zh e nj e 
BLB       b l p 
BLBCE       b l p c e 
BLBEC       b l b e c 
BLBEJ       b l b e j 
BLBKA       b l p k a 
BLBKOVIČ       b l p k o v i ch 
BLBNE       b l b n e 
BLBOST       b l b o s t 
BLBOSTI       b l b o s tj i 
BLBOU       b l b ow 
BLBOVÉ       b l b o v ee 
BLBY       b l b i 
BLBÁ       b l b aa 
BLBÉ       b l b ee 
BLBÝ       b l b ii 
BLBĚ       b l b j e 
BLESKOVĚ       b l e s k o v j e 
BLIKÁ       b l i k aa 
BLIŽŠÍ       b l i sh ii 
BLOK       b l o k 
BLOKEM       b l o k e m 
BLONDÝNA       b l o n d ii n a 
BLONDÝNY       b l o n d ii n i 
BLOUMAT       b l ow m a t 
BLUDNEJ       b l u d n e j 
BLUMKY       b l u m k i 
BLÁHO       b l aa h o 
BLÁZEN       b l aa z e n 
BLÁZINCI       b l aa z i n c i 
BLÁZNI       b l aa z nj i 
BLÉ       b l ee 
BLÍZKO       b l ii s k o 
BLÍŽ       b l ii sh 
BLÍŽE       b l ii zh e 
BO       b o 
BOBEK       b o b e k 
BOBY       b o b i 
BODECH       b o d e x 
BODEJĎ       b o d e j tj 
BODOVÉMU       b o d o v ee m u 
BODY       b o d i 
BODĚ       b o dj e 
BODŮ       b o d uu 
BOGLE       b o g l e 
BOHA       b o h a 
BOHATÝ       b o h a t ii 
BOHDALKA       b o h d a l k a 
BOHDALKU       b o h d a l k u 
BOHEMIA       b o h e m i a 
BOHNICÍCH       b o h nj i c ii x 
BOHOUŠ       b o h ow sh 
BOHU       b o h u 
BOHUNA       b o h u n a 
BOHUŠ       b o h u sh 
BOHUŽEL       b o h u zh e l 
BOJ       b o j 
BOJE       b o j e 
BOJI       b o j i 
BOJIM       b o j i m 
BOJOVAT       b o j o v a t 
BOJOVNOSTI       b o j o v n o s tj i 
BOJUJ       b o j u j 
BOJUJE       b o j u j e 
BOJÍ       b o j ii 
BOJÍM       b o j ii m 
BOJÍŠ       b o j ii sh 
BOJŮ       b o j uu 
BOL       b o l 
BOLAVOU       b o l a v ow 
BOLEJ       b o l e j 
BOLELO       b o l e l o 
BOLESLAVI       b o l e s l a v i 
BOLEST       b o l e s t 
BOLESTI       b o l e s tj i 
BOLET       b o l e t 
BOLÁKY       b o l aa k i 
BOLÍ       b o l ii 
BOMBA       b o m b a 
BOMBARDOVÁNÍ       b o m b a r d o v aa nj ii 
BONUSY       b o n u s i 
BORDEL       b o r d e l 
BORDELU       b o r d e l u 
BORISE       b o r i s e 
BORISEM       b o r i s e m 
BORISOVOU       b o r i s o v ow 
BOROVICE       b o r o v i c e 
BORŮVKY       b o r uu f k i 
BOSENSKÉHO       b o s e n s k ee h o 
BOSNY       b o s n i 
BOSÁK       b o s aa k 
BOSÁKOVÁ       b o s aa k o v aa 
BOTAMA       b o t a m a 
BOTASKY       b o t a s k i 
BOTIČKOU       b o tj i ch k ow 
BOTNÍK       b o t nj ii k 
BOTY       b o t i 
BOUCHLA       b ow x l a 
BOUCHÁ       b ow x aa 
BOUCHÁŠ       b ow x aa sh 
BOUDA       b ow d a 
BOUDOU       b ow d ow 
BOULU       b ow l u 
BOUĎÁK       b ow dj aa k 
BOUŘILO       b ow rzh i l o 
BOUŘKA       b ow rsh k a 
BOUŘÍM       b ow rzh ii m 
BOX       b o k s 
BOČNÍ       b o ch nj ii 
BOŘISLAVKA       b o rzh i s l a f k a 
BOŠ       b o sh 
BOŠE       b o sh e 
BOŽE       b o zh e 
BOŽÍ       b o zh ii 
BOŽÍHO       b o zh ii h o 
BOŽÍNKU       b o zh ii ng k u 
BRADAVICE       b r a d a v i c e 
BRAICETLOVA       b r a i c e t l o v a 
BRAJCETLOVA       b r a j c e t l o v a 
BRAJGL       b r a j g l 
BRAL       b r a l 
BRALA       b r a l a 
BRALI       b r a l i 
BRAMBORAMA       b r a m b o r a m a 
BRAMBOREM       b r a m b o r e m 
BRAMBORY       b r a m b o r i 
BRANDÝS       b r a n d ii s 
BRANKÁŘ       b r a ng k aa rsh 
BRATISLAVY       b r a tj i s l a v i 
BRAZÍLIE       b r a z ii l i e 
BRBLAL       b r b l a l 
BREJLE       b r e j l e 
BREJSEKOVA       b r e j s e k o v a 
BRIGÁDNÍCI       b r i g aa d nj ii c i 
BRIGÁDU       b r i g aa d u 
BRIGÁDÁCH       b r i g aa d aa x 
BRITA       b r i t a 
BRITI       b r i tj i 
BRITSKEJ       b r i t s k e j 
BRITSKÁ       b r i t s k aa 
BRITSKÝ       b r i t s k ii 
BRITÁNII       b r i t aa n i i 
BRITŮ       b r i t uu 
BRM       b r m 
BRNA       b r n a 
BRNKNI       b r ng k nj i 
BRNKNOUT       b r ng k n ow t 
BRNO       b r n o 
BRNĚ       b r nj e 
BRNĚNSKOU       b r nj e n s k ow 
BRNĚNSKÉ       b r nj e n s k ee 
BRNĚNSKÝ       b r nj e n s k ii 
BRNĚNSKÝCH       b r nj e n s k ii x 
BROKY       b r o k i 
BROSKVE       b r o s k v e 
BROUK       b r ow k 
BROUMOVA       b r ow m o v a 
BROŇA       b r o nj a 
BRUSEL       b r u s e l 
BRUSLE       b r u s l e 
BRUSLÁCH       b r u s l aa x 
BRUTÁLNĚ       b r u t aa l nj e 
BRVO       b r v o 
BRZDIT       b r z dj i t 
BRZO       b r z o 
BRZY       b r z i 
BRÁCHA       b r aa x a 
BRÁCHY       b r aa x i 
BRÁNIT       b r aa nj i t 
BRÁNY       b r aa n i 
BRÁT       b r aa t 
BRÁZNÍ       b r aa z nj ii 
BRÁŠKU       b r aa sh k u 
BRÝLE       b r ii l e 
BRČKEM       b r ch k e m 
BRĎO       b r dj o 
BRŇÁČEK       b r nj aa ch e k 
BRŇÁČKEM       b r nj aa ch k e m 
BUBLIN       b u b l i n 
BUBLINKAMA       b u b l i ng k a m a 
BUBLINKOVÝ       b u b l i ng k o v ii 
BUBLINKY       b u b l i ng k i 
BUCH       b u x 
BUCHARKA       b u x a r k a 
BUCHAROVA       b u x a r o v a 
BUCHAROVY       b u x a r o v i 
BUCHTA       b u x t a 
BUCHTU       b u x t u 
BUCHTY       b u x t i 
BUCHTÍK       b u x tj ii k 
BUDE       b u d e 
BUDEM       b u d e m 
BUDEME       b u d e m e 
BUDETE       b u d e t e 
BUDEŠ       b u d e sh 
BUDIT       b u dj i t 
BUDIŽ       b u dj i sh 
BUDKY       b u t k i 
BUDOCNOSTI       b u d o c n o s tj i 
BUDOU       b u d ow 
BUDOUCNA       b u d ow c n a 
BUDOUCNOST       b u d ow c n o s t 
BUDOUCNOSTI       b u d ow c n o s tj i 
BUDOUCÍ       b u d ow c ii 
BUDOV       b u d o f 
BUDOVA       b u d o v a 
BUDOVI       b u d o v i 
BUDOVY       b u d o v i 
BUDU       b u d u 
BUDUJE       b u d u j e 
BUDUJEME       b u d u j e m e 
BUDÍ       b u dj ii 
BUDÍKA       b u dj ii k a 
BUDĚJIC       b u dj e j i c 
BUDĚJKY       b u dj e j k i 
BUDĚJOVICKÁ       b u dj e j o v i c k aa 
BULEK       b u l e k 
BULET       b u l e t 
BULHAR       b u l h a r 
BULHARSKA       b u l h a r s k a 
BULIN       b u l i n 
BULKY       b u l k i 
BULOVCE       b u l o f c e 
BULOVKA       b u l o f k a 
BUMSKÁM       b u m s k aa m 
BUNDES       b u n d e s 
BUNDU       b u n d u 
BUNDY       b u n d i 
BUNĚK       b u nj e k 
BURZE       b u r z e 
BURČÁK       b u r ch aa k 
BURČÁKEM       b u r ch aa k e m 
BURČÁKU       b u r ch aa k u 
BUSEM       b u s e m 
BUTOVIC       b u t o v i c 
BUTOVICE       b u t o v i c e 
BUĎ       b u tj 
BUŇKY       b u nj k i 
BUŇKÁCH       b u nj k aa x 
BY       b i 
BYCH       b i x 
BYCHOM       b i x o m 
BYDLELA       b i d l e l a 
BYDLET       b i d l e t 
BYDLÍ       b i d l ii 
BYDLÍME       b i d l ii m e 
BYL       b i l 
BYLA       b i l a 
BYLAS       b i l a s 
BYLI       b i l i 
BYLINKOVÉ       b i l i ng k o v ee 
BYLINKY       b i l i ng k i 
BYLO       b i l o 
BYLY       b i l i 
BYS       b i s 
BYSEM       b i s e m 
BYSME       b i s m e 
BYSTE       b i s t e 
BYT       b i t 
BYTECH       b i t e x 
BYTEM       b i t e m 
BYTOVÉ       b i t o v ee 
BYTU       b i t u 
BYTY       b i t i 
BYTÍ       b i tj ii 
BYTĚ       b i tj e 
BYVALY       b i v a l i 
BÁBA       b aa b a 
BÁBOVKU       b aa b o f k u 
BÁL       b aa l 
BÁLA       b aa l a 
BÁRA       b aa r a 
BÁRTY       b aa r t i 
BÁSNIL       b aa s nj i l 
BÁSNIČKY       b aa s nj i ch k i 
BÁT       b aa t 
BÉ       b ee 
BÉČKA       b ee ch k a 
BÉČKO       b ee ch k o 
BÍDA       b ii d a 
BÍLEJ       b ii l e j 
BÍLOU       b ii l ow 
BÍLYM       b ii l i m 
BÍLÁ       b ii l aa 
BÍLÉ       b ii l ee 
BÍLÝ       b ii l ii 
BÍT       b ii t 
BÝT       b ii t 
BÝVAJÍ       b ii v a j ii 
BÝVAJŮ       b ii v a j uu 
BÝVAL       b ii v a l 
BÝVALA       b ii v a l a 
BÝVALO       b ii v a l o 
BÝVALY       b ii v a l i 
BÝVALÉ       b ii v a l ee 
BÝVALÉHO       b ii v a l ee h o 
BÝVALÝ       b ii v a l ii 
BĚHACÍ       b j e h a c ii 
BĚHAL       b j e h a l 
BĚHALA       b j e h a l a 
BĚHEM       b j e h e m 
BĚHU       b j e h u 
BĚHÁ       b j e h aa 
BĚHÁNÍ       b j e h aa nj ii 
BĚLINSKÉHO       b j e l i n s k ee h o 
BĚLOHRADSKÁ       b j e l o h r a t s k aa 
BĚLOTÍNA       b j e l o tj ii n a 
BĚLSKÉHO       b j e l s k ee h o 
BĚLÁKU       b j e l aa k u 
BĚLÁSKU       b j e l aa s k u 
BĚLÉ       b j e l ee 
BĚČELA       b j e ch e l a 
BĚŽ       b j e sh 
BĚŽCE       b j e sh c e 
BĚŽCEM       b j e sh c e m 
BĚŽECKÝ       b j e zh e c k ii 
BĚŽEL       b j e zh e l 
BĚŽELA       b j e zh e l a 
BĚŽELO       b j e zh e l o 
BĚŽET       b j e zh e t 
BĚŽNÉ       b j e zh n ee 
BĚŽNÝ       b j e zh n ii 
BĚŽNÝM       b j e zh n ii m 
BĚŽNĚ       b j e zh nj e 
BĚŽTE       b j e sh t e 
BĚŽÍ       b j e zh ii 
BŘEHU       b rzh e h u 
BŘEMENO       b rzh e m e n o 
BŘEVNOV       b rzh e v n o f 
BŘICHO       b rzh i x o 
BŘIŠE       b rzh i sh e 
BŘÍŠKA       b rzh ii sh k a 
BŮH       b uu x 
C       c 
CACHTALY       c a x t a l i 
CAJKU       c a j k u 
CANCALA       c a n c a l a 
CECIL       c e c i l 
CECILA       c e c i l a 
CECILKU       c e c i l k u 
CECILU       c e c i l u 
CEDULE       c e d u l e 
CEJTIL       c e j tj i l 
CEJTIM       c e j tj i m 
CEJTIT       c e j tj i t 
CEJTÍ       c e j tj ii 
CELEJ       c e l e j 
CELEK       c e l e k 
CELER       c e l e r 
CELKE       c e l k e 
CELKEM       c e l k e m 
CELKOVÉ       c e l k o v ee 
CELKOVÝ       c e l k o v ii 
CELKOVĚ       c e l k o v j e 
CELKU       c e l k u 
CELOROČNÍHO       c e l o r o ch nj ii h o 
CELOSTÁTNÍ       c e l o s t aa t nj ii 
CELOSTÁTNÍCH       c e l o s t aa t nj ii x 
CELOU       c e l ow 
CELOZRNÝCH       c e l o z r n ii x 
CELU       c e l u 
CELÁ       c e l aa 
CELÉ       c e l ee 
CELÉM       c e l ee m 
CELÝ       c e l ii 
CELÝCH       c e l ii x 
CELÝHO       c e l ii h o 
CELÝM       c e l ii m 
CEN       c e n 
CENA       c e n a 
CENNÝCH       c e n ii x 
CENOVKA       c e n o f k a 
CENTIMETRY       c e nj tj i m e t r i 
CENTRA       c e n t r a 
CENTRU       c e n t r u 
CENTŮ       c e n t uu 
CENU       c e n u 
CENY       c e n i 
CENZORNÍ       c e n z o r nj ii 
CENŤÁKŮ       c e nj tj aa k uu 
CERTIFIKÁTY       c e r tj i f i k aa t i 
CEST       c e s t 
CESTA       c e s t a 
CESTIČKOU       c e s tj i ch k ow 
CESTIČKY       c e s tj i ch k i 
CESTOU       c e s t ow 
CESTOVAL       c e s t o v a l 
CESTOVNÍ       c e s t o v nj ii 
CESTU       c e s t u 
CESTUJE       c e s t u j e 
CESTY       c e s t i 
CESTĚ       c e s tj e 
CEZ       c e s 
CHADIMOVÉ       x a dj i m o v ee 
CHAGIMOVÉ       x a g i m o v ee 
CHALUPU       x a l u p u 
CHALUPĚ       x a l u p j e 
CHANEL       x a n e l 
CHAOS       x a o s 
CHAPLINOVA       ch a p l i n o v a 
CHAPLINOVO       ch a p l i n o v o 
CHARAKTERISTICKÝ       x a r a k t e r i s t i c k ii 
CHARAKTERISTIKOU       x a r a k t e r i s t i k ow 
CHARAKTERIZUJÍ       x a r a k t e r i z u j ii 
CHAT       x a t 
CHATCE       x a t c e 
CHATU       x a t u 
CHATY       x a t i 
CHATĚ       x a tj e 
CHCE       x c e 
CHCEM       x c e m 
CHCEME       x c e m e 
CHCETE       x c e t e 
CHCEŠ       x c e sh 
CHCI       x c i 
CHCOU       x c ow 
CHCU       x c u 
CHCÍPL       x c ii p l 
CHCÍPLA       x c ii p l a 
CHCÍT       x c ii t 
CHEBU       x e b u 
CHEMICKOU       x e m i c k ow 
CHEMIKÁLIE       x e m i k aa l i e 
CHEMO       x e m o 
CHILKOU       ch i l k ow 
CHILKU       ch i l k u 
CHIRURGIE       x i r u r g i e 
CHIRURGII       x i r u r g i i 
CHLAD       x l a t 
CHLADIT       x l a dj i t 
CHLADNO       x l a d n o 
CHLADNĚJŠÍ       x l a d nj e j sh ii 
CHLADU       x l a d u 
CHLAP       x l a p 
CHLAPA       x l a p a 
CHLAPCE       x l a p c e 
CHLAPEC       x l a p e c 
CHLAPECH       x l a p e x 
CHLAPEM       x l a p e m 
CHLAPEČKA       x l a p e ch k a 
CHLAPI       x l a p i 
CHLAPY       x l a p i 
CHLAPÍK       x l a p ii k 
CHLAPČE       x l a p ch e 
